Species,fc,auroc,p.val,p.adj,cohen.d
Schizosaccharomyces pombe,0.171781427,0.598343358,4.37E-06,1.48E-05,0.184681115
Apiotrichum porosum,0.088056715,0.582014351,0.000128051,0.000313748,0.105842161
Cercospora berteroae,0.258883309,0.621885316,1.25E-08,8.03E-08,0.125418679
Trametes pubescens,0.140102747,0.601716185,2.03E-06,7.66E-06,0.183612667
Hortaea werneckii,0.154474412,0.633880523,4.04E-10,3.31E-09,0.305669906
Pseudogymnoascus sp. VKM F-3808,-0.001124728,0.488445711,0.576420449,0.625552177,-0.013656874
Rhynchosporium secalis,0.231638561,0.564147786,0.000795487,0.001620521,0.1429053
Aspergillus thermomutatus,0.113472419,0.585877086,6.06E-05,0.000159365,0.117033186
Serendipita indica,0.045603844,0.520934141,0.328207078,0.379273333,-0.015558936
Aspergillus indologenus,0.10675893,0.514267625,0.501147766,0.557438935,-0.143438841
Rutstroemia sp. NJR-2017a WRK4,0.248600275,0.583713954,8.51E-05,0.000215131,-0.036635499
Trichophyton benhamiae,0.280194337,0.593926649,3.02E-06,1.06E-05,0.083025881
Phaeoacremonium minimum,-0.040275852,0.479031942,0.327463954,0.379028894,-0.069919245
Suhomyces tanzawaensis,0.232417677,0.608427923,4.09E-07,1.87E-06,-0.016023155
Cyberlindnera fabianii,-0.041380194,0.46603054,0.109841639,0.141111872,-0.130319806
Pseudoloma neurophilia,0.250086829,0.592381555,1.57E-05,4.69E-05,0.075258167
Thermochaetoides thermophila,0.041406801,0.536969204,0.084255074,0.111869399,0.016567823
Corynespora cassiicola,-0.078438152,0.432897692,0.001725786,0.003229621,-0.299591279
Phanerodontia chrysosporium,0.203778913,0.682539683,1.53E-17,5.46E-16,0.433311541
Anaeromyces robustus,0.136882773,0.636955637,1.59E-10,1.48E-09,0.220663963
Punctularia strigosozonata,-0.029244187,0.476932875,0.281361008,0.332687228,-0.149220727
Tilletiaria anomala,-0.144663806,0.395642081,1.10E-06,4.44E-06,-0.290366309
Tuber magnatum,0.119923728,0.523696468,0.267929574,0.318601038,-0.014919369
Absidia glauca,0.120725037,0.58137747,0.000144431,0.000349082,0.125549983
Tremella mesenterica,0.117227856,0.569205143,0.001228425,0.002380074,-0.012237368
Bipolaris maydis,-0.002789665,0.484752559,0.476417211,0.532422369,-0.14037543
Eremothecium gossypii,-0.037764,0.44805092,0.01526229,0.023202586,-0.286871883
Amanita thiersii,0.142060109,0.543918359,0.040185275,0.056736834,-0.013095448
Diaporthe ampelina,-0.038193636,0.459831321,0.060662493,0.082385443,-0.239470813
Botrytis porri,0.135745432,0.552989192,0.013306424,0.020491318,0.079423393
Torulaspora globosa,0.180282495,0.556584362,0.00796709,0.012623411,-0.024799294
Aspergillus pseudotamarii,0.165368441,0.548165483,0.023153695,0.034179264,-0.033061379
Sistotremastrum niveocremeum,0.046516601,0.520591206,0.125385436,0.158229763,0.06669277
Sistotremastrum suecicum,0.207158626,0.568605948,0.00027849,0.000642599,0.063727453
Microbotryum lychnidis-dioicae,0.105710628,0.56587377,0.00209495,0.003800762,-0.015562313
Sordaria macrospora,-0.042660735,0.39768462,1.77E-06,6.81E-06,-0.291030532
Aspergillus ellipticus,0.132254322,0.578377727,0.000251715,0.000584904,0.33278853
Sporothrix brasiliensis,0.283175147,0.60267339,1.47E-06,5.78E-06,0.147649641
Wickerhamomyces anomalus,0.167158989,0.634268681,3.60E-10,3.02E-09,0.316989621
Suillus subalutaceus,0.154904451,0.538536909,0.071455086,0.096127314,-0.067405079
[Candida] pseudohaemulonii,0.126979281,0.571417266,0.00085179,0.00171561,-0.026441902
Lasiodiplodia theobromae,0.149220634,0.565357482,0.002270537,0.00406757,0.026964085
Moesziomyces antarcticus,0.123764191,0.616515172,5.29E-08,2.97E-07,0.230932192
Suillus paluster,0.149936194,0.586208716,5.66E-05,0.000151268,0.204179926
Pseudozyma flocculosa,0.088620605,0.600540406,2.66E-06,9.63E-06,0.230087931
Acremonium chrysogenum,0.149701122,0.586065512,5.83E-05,0.000153882,-0.001080667
Saccharomycodes ludwigii,0.430046754,0.655383711,6.30E-14,1.15E-12,0.57538452
Fusarium pseudograminearum,0.349983868,0.66035816,6.85E-14,1.22E-12,0.177912675
Trichoderma virens,0.037288235,0.508279443,0.692454631,0.731437262,-0.072489064
Clavispora lusitaniae,0.124663599,0.534323701,0.108901817,0.14027687,-0.0079657
Stemphylium lycopersici,0.370194681,0.652508328,9.51E-13,1.37E-11,0.132263987
Colletotrichum aenigma,-0.054335153,0.457916912,0.049368503,0.068349015,-0.236031857
Agaricus bisporus,0.323887946,0.606441912,6.42E-07,2.77E-06,-0.019657752
Annulohypoxylon maeteangense,0.204782778,0.576561299,0.000335881,0.000757859,0.024131776
Spraguea lophii,0.32674285,0.604580262,6.99E-07,2.93E-06,0.276550805
Fusarium vanettenii,0.174438269,0.531482235,0.139342671,0.174606897,-0.121387841
Suillus discolor,0.152875725,0.524077089,0.255398283,0.306048699,-0.18593042
Mytilinidion resinicola,0.296421682,0.577232096,4.66E-05,0.000126864,0.04549025
Suillus luteus,0.065976796,0.53297457,0.084933746,0.112352061,-0.184994709
Synchytrium microbalum,0.347447262,0.595814679,7.29E-06,2.35E-05,0.168230968
Suillus plorans,0.222675716,0.55962556,0.000207656,0.00049026,0.169642909
Armillaria gallica,0.076072929,0.532141727,0.091346218,0.119723996,-0.022463791
Wallemia mellicola,0.17397037,0.547958215,0.024127465,0.035469862,-0.029261332
Ophiocordyceps camponoti-rufipedis,0.098044349,0.572235035,0.000742272,0.001529595,0.05530195
Talaromyces marneffei,0.132877188,0.547121603,0.027706397,0.040151751,-0.047414005
Aspergillus flavus,0.308117465,0.663018737,2.64E-14,5.23E-13,0.401313042
Eutypa lata,-0.051150843,0.45519227,0.036386837,0.05157816,-0.197957493
Talaromyces islandicus,0.115575341,0.728086043,1.71E-26,6.09E-24,0.582428566
Termitomyces sp. J132,0.339079842,0.657215213,2.08E-13,3.52E-12,0.441782005
Pseudomicrostroma glucosiphilum,0.100434476,0.563311174,0.003109318,0.005354937,-0.035693535
Ganoderma sinense,0.055393474,0.521262003,0.320726547,0.373047353,-0.057687218
Saccharomyces cerevisiae,0.05831335,0.498187341,0.932307455,0.945569296,-0.180314405
Vanderwaltozyma polyspora,-0.006725977,0.495813172,0.844977652,0.866861965,-0.095149331
Pestalotiopsis fici,0.119846923,0.571579312,0.000829231,0.001679664,0.081106836
Tetrapisispora blattae,0.339503434,0.618316526,1.79E-08,1.13E-07,0.074106577
Venustampulla echinocandica,0.091992241,0.555001583,0.010206834,0.01595937,0.04205773
Amanita muscaria,0.146246387,0.631966113,7.14E-10,5.59E-09,0.342381815
Aureobasidium melanogenum,0.133332539,0.604139345,1.15E-06,4.60E-06,0.187815958
Coniella lustricola,0.133943556,0.617374395,4.22E-08,2.39E-07,0.174131007
Cryptococcus amylolentus,0.134209425,0.647552722,5.54E-12,6.82E-11,0.358475549
Cutaneotrichosporon oleaginosum,0.022961067,0.514018903,0.512660528,0.56670846,-0.030551071
[Candida] arabinofermentans,0.029935999,0.517097786,0.424574115,0.47747846,-0.064148419
Sporisorium reilianum,0.086045159,0.576109076,0.000378857,0.00084151,0.076987708
Suillus bovinus,0.514965448,0.684536999,5.87E-18,2.46E-16,0.441808918
Jaminaea rosea,-0.059461527,0.435068361,0.002424393,0.00429998,-0.307303546
Eremothecium sinecaudum,0.280272844,0.691237432,4.22E-19,2.15E-17,0.570442614
Aspergillus wentii,0.14113938,0.568251707,0.001433121,0.002736551,0.119096473
Cladophialophora immunda,0.031035596,0.46363376,0.089245653,0.117389156,-0.306439414
Aspergillus ustus,0.416312748,0.651249642,1.45E-12,1.99E-11,0.30516156
Trachipleistophora hominis,0.252501278,0.596511856,1.43E-07,7.16E-07,-0.002445005
Gaeumannomyces tritici,0.117015788,0.599745248,3.19E-06,1.10E-05,0.163052786
Trametes coccinea,0.185595125,0.564453037,0.002597508,0.004561633,0.019786904
Anncaliia algerae,0.174663031,0.590625424,2.31E-05,6.64E-05,0.113126692
