Ascomycota,Basidiomycota,Chytridiomycota,Cryptomycota,Microsporidia,Mucoromycota,Zoopagomycota,B_A_ratio,group
82.15,13.625,0.9,0,1.35,1.725,0.25,0.165855143,unfavor-type
76.425,17.8,0.5,0,2.3,2.375,0.6,0.23290808,unfavor-type
72.4,21.35,0.6,0.15,1.85,2.2,1.45,0.294889503,unfavor-type
75.475,18.6,0.35,0.35,1.275,2.125,1.825,0.246439218,favor-type
69,25.775,0.75,0.15,1.9,1.65,0.775,0.373550725,favor-type
74.075,21.05,0.725,0,2.375,1.45,0.325,0.284171448,favor-type
75.8,19.075,0.225,0,2.675,1.625,0.6,0.251649077,favor-type
78.225,16.35,0.675,0,1.6,2.4,0.75,0.209012464,unfavor-type
72.625,22.475,0.35,0.15,0.8,1.275,2.325,0.309466437,favor-type
77.55,18.275,0.35,0.175,1.1,2.075,0.475,0.235654417,favor-type
73.9,19.175,0.775,0.275,1.725,2.45,1.7,0.25947226,favor-type
73.85,21.3,0.25,0.075,2.475,1.5,0.55,0.288422478,unfavor-type
73.975,20.225,0.625,0.025,2.125,1.875,1.15,0.273403177,favor-type
76.15,18.975,0.225,0,1.725,1.275,1.65,0.249179251,favor-type
77.4,19.1,0.175,0.125,1.775,1.125,0.3,0.246770026,unfavor-type
83.4,11.75,0.975,0.025,1.175,2.3,0.375,0.14088729,unfavor-type
80.2,16,0.625,0.025,1.2,1.4,0.55,0.199501247,unfavor-type
78.9,16.175,0.325,0.05,2.3,1.8,0.45,0.205006337,favor-type
74.375,19.45,0.675,0.025,1.775,2.65,1.05,0.261512605,favor-type
