Acidobacteria,Actinobacteria,Aquificae,Armatimonadetes,Atribacterota,Bacteroidetes,Balneolaeota,Caldiserica,Calditrichaeota,Candidatus_Absconditabacteria,Candidatus_Bipolaricaulota,Candidatus_Cloacimonetes,Candidatus_Omnitrophica,Candidatus_Saccharibacteria,Chlamydiae,Chlorobi,Chloroflexi,Chrysiogenetes,Coprothermobacterota,Cyanobacteria,Deferribacteres,Deinococcus.Thermus,Dictyoglomi,Elusimicrobia,Fibrobacteres,Firmicutes,Fusobacteria,Gemmatimonadetes,Ignavibacteriae,Kiritimatiellaeota,Nitrospirae,Planctomycetes,Proteobacteria,Spirochaetes,Synergistetes,Tenericutes,Thermodesulfobacteria,Thermotogae,Unassigned,Verrucomicrobia,F_B_ratio,group
0.018597563,2.6188428,0.002075499,0.000628112,0.000191164,58.39468345,0.00101044,0,0.00103775,0.000136546,5.46E-05,0.000109237,0.000573493,0.012644158,0.003085939,0.018133307,0.012671468,0.000791967,0.000109237,0.050767798,0.00374136,0.025588718,0.000109237,0.001310841,0.002457828,34.99840241,0.016959012,0.008220068,0.003932524,0.005571076,0.004506018,0.050576634,3.602711257,0.051313982,0.024769442,0.008766252,0.00101044,0.006608826,5.46E-05,0.047244912,0.599342275,unfavor-type
0.016837165,1.344788824,0.001619902,0.001129023,0.00012272,59.39312572,0.000785407,0.000171808,0.000441792,0,0.000294528,0.000466335,0.00036816,0.006970488,0.001178111,0.007535,0.017008973,0.00024544,0.000171808,0.039147637,0.001055391,0.02582026,9.82E-05,0.000539967,0.001742622,36.02930059,0.016935341,0.003485244,0.001300831,0.001963518,0.003681596,0.033404347,2.812174792,0.039123093,0.028544641,0.007265016,0.001055391,0.005645114,4.91E-05,0.154406134,0.606624086,unfavor-type
0.0053,1.80774,0.00102,0.00024,0.00012,61.98966,1.00E-04,2.00E-05,0.00018,0.00012,8.00E-05,6.00E-05,0.00012,8.00E-05,0.00106,0.00324,0.00472,3.00E-04,2.00E-05,0.0197,0.0012,0.0097,0.00024,0.00048,0.00144,33.22028,0.00956,0.00088,4.00E-04,7.00E-04,0.00102,0.01252,2.8496,0.01946,0.00954,0.00616,0.00052,0.00246,2.00E-05,0.01994,0.535900342,unfavor-type
0.009,0.62856,0.00188,0.00084,0.00014,73.28976,0.00078,0.00022,0.00054,0.00024,6.00E-05,0.00028,2.00E-04,0.00032,0.0016,0.00622,0.0095,0.00066,2.00E-05,0.0297,0.00156,0.01194,0.00036,0.00098,0.00086,23.34256,0.05112,0.00128,0.0014,0.00124,0.0016,0.0199,1.82286,0.02662,0.01108,0.01356,0.00088,0.00404,4.00E-05,0.7056,0.318496881,unfavor-type
0.00824,17.7355,0.0022,0.00058,0.00048,47.85372,0.00046,0.00026,0.00048,0.00016,0.00016,0.00018,0.00016,0.00082,0.00144,0.00674,0.00942,0.00064,0,0.0282,0.00136,0.01332,0.00022,0.00114,0.00132,27.0932,0.01468,0.00158,0.00114,0.00118,0.00182,0.02182,7.10882,0.02882,0.01442,0.02162,0.00058,0.00476,4.00E-05,0.01832,0.566167061,favor-type
0.00134,0.79782,3.00E-04,1.00E-04,0,85.59306,8.00E-05,0,8.00E-05,0,2.00E-05,6.00E-05,1.00E-04,0.00948,0.00014,0.00138,0.00164,8.00E-05,4.00E-05,0.00366,0.00014,0.0018,4.00E-05,1.00E-04,0.00022,12.82096,0.0019,0.00016,4.00E-05,0.00012,0.00042,0.00356,0.73902,0.00366,0.01074,0.00078,4.00E-05,0.00036,0,0.00656,0.149789714,unfavor-type
0.00082,0.40646,8.00E-05,0.00012,0,77.67234,4.00E-05,2.00E-05,1.00E-04,0,4.00E-05,6.00E-05,4.00E-05,0.00104,0.00024,0.00052,0.00062,1.00E-04,0,0.00272,8.00E-05,0.00158,4.00E-05,0.00016,8.00E-05,21.5484,0.00178,8.00E-05,2.00E-05,2.00E-05,0.00018,0.002,0.34888,0.00324,0.0014,0.001,1.00E-04,0.00042,0,0.00518,0.277426945,unfavor-type
0.00028,0.06116,0.00056,6.00E-05,8.00E-05,81.2546,4.00E-05,0,0,0,0,0,0,0.00034,3.00E-04,0.00052,0.00058,2.00E-05,0,0.00304,0.00032,0.00066,0.00012,0.00016,0.00018,16.94864,0.22002,4.00E-05,2.00E-04,1.00E-04,0.00016,0.00182,0.10582,0.00532,0.00118,0.0015,0.00014,0.00088,2.00E-05,1.39114,0.208586837,unfavor-type
0.012245807,1.371008367,0.003414905,0.001087549,0.000195759,52.44679055,0.000978795,0.000565526,0.00021751,6.53E-05,0.000391518,0.000261012,0.000261012,0.000913542,0.00197934,0.008548139,0.01626974,0.001087549,0.000261012,0.046133849,0.003197395,0.018836357,0.000696032,0.000957044,0.002175099,28.8491856,0.026362199,0.00263187,0.002762376,0.003219146,0.003458407,0.031125666,7.3433733,0.044328517,0.028602551,0.040630848,0.001196304,0.007373585,0.000152257,9.677058709,0.550065796,unfavor-type
0.00448,0.71098,0.00078,0.00032,0,51.4013,0.00028,0,0.00032,2.00E-05,0,0,2.00E-05,3.00E-04,6.00E-04,0.00318,0.00492,8.00E-05,0,0.01536,4.00E-04,0.01108,1.00E-04,4.00E-04,7.00E-04,7.71702,0.00198,8.00E-04,3.00E-04,0.00102,0.00086,0.01218,3.22936,0.01082,0.00952,0.00246,0.00046,0.00132,0,36.85628,0.150132779,unfavor-type
0.00374,0.6785,0.00192,0.00028,4.00E-05,73.97072,6.00E-05,0,2.00E-04,1.00E-04,2.00E-05,8.00E-05,0.00012,0.00202,0.00078,0.00134,0.00266,0.00028,0,0.01276,0.00158,0.00484,8.00E-05,0.00026,0.00048,23.25642,0.01378,2.00E-04,0.00026,0.00036,0.00114,0.00696,1.9936,0.01958,0.00442,0.00904,0.0011,0.00342,6.00E-05,0.0068,0.314400347,favor-type
0.0014,0.1145,3.00E-04,0,0,88.08486,4.00E-05,0,2.00E-05,0,4.00E-05,2.00E-05,0,0,6.00E-05,0.00124,0.00122,8.00E-05,0,0.00428,0.00012,0.00172,0,0,0.00014,11.1121,0.00484,0.00018,0.00024,0.00034,3.00E-04,0.0028,0.65426,0.00354,0.00186,0.00086,4.00E-05,0.00042,0,0.00818,0.126152213,unfavor-type
0.00382,0.43618,0.00026,0.00016,2.00E-05,85.0135,8.00E-05,4.00E-05,6.00E-05,0,8.00E-05,4.00E-05,6.00E-05,0.00818,0.00028,0.00198,0.00266,0.00034,0,0.00866,0.00026,0.00372,6.00E-05,6.00E-05,0.00036,13.7014,0.00172,0.00028,0.00022,5.00E-04,0.00038,0.0069,0.7857,0.00766,0.00296,0.00164,0.00018,0.00064,0,0.00896,0.161167344,unfavor-type
0.011894981,0.863934442,0.003219509,0.000835598,0.000221188,70.1542145,0.000712716,0.000122882,0.000786445,7.37E-05,2.46E-05,0.000442375,0.00095848,0.003711037,0.002162724,0.007987332,0.011133112,0.000147458,0,0.049103662,0.001351702,0.013222107,0.000368646,0.001253397,0.002138147,25.72660762,0.022880635,0.001892383,0.001007633,0.003268662,0.002629676,0.028484056,2.967134216,0.038142584,0.011870405,0.030892544,0.001646619,0.006561901,0.000221188,0.026739131,0.366715069,unfavor-type
9.00E-04,0.28934,0.00016,4.00E-05,4.00E-05,89.9225,0.00018,0,0.00016,0,0,4.00E-05,0.00014,0.0041,0.00026,4.00E-04,0.0017,6.00E-05,0,0.00314,0.00016,0.00104,4.00E-05,2.00E-04,1.00E-04,7.73132,0.00164,0.00026,0.00014,0.00026,0.00026,0.00306,2.0254,0.0045,0.00146,0.00116,2.00E-05,0.00052,2.00E-05,0.00528,0.085977592,unfavor-type
0.014481082,1.532506995,0.002811271,0.001173049,0.000101125,59.16330898,0.000485399,0.00036405,0.000626974,6.07E-05,0.00020225,0.000444949,0.000424724,0.001294398,0.001820248,0.00804954,0.031692535,0.002204522,0.0001618,0.050056812,0.002528122,0.029811612,0.000687649,0.001476423,0.001193273,34.90658691,0.027000341,0.002406772,0.001355073,0.00374162,0.002366322,0.033755482,3.361410991,0.040470174,0.683927739,0.035434155,0.001375298,0.006613567,6.07E-05,0.045526418,0.590003965,favor-type
