,CPM,logFC,signif,name,col,Richess,logCPM
3815,1.002811246,-0.232650348,TRUE,s__Leucobacter_sp._Psy1,favor-type,Different abundant taxa,0.00405008
3816,3.248281366,0.358460654,TRUE,s__Clostridioides_sp._ES-W-0016-02,unfavor-type,Different abundant taxa,1.699676604
3817,1.408377648,-0.236862862,TRUE,s__Undibacterium_sp._YM2,favor-type,Different abundant taxa,0.494034236
3818,3.457150845,-0.180355061,TRUE,s__Cytobacillus_sp._CY-G,favor-type,Different abundant taxa,1.789583554
3819,1.198096137,-0.194673779,TRUE,s__Mycolicibacterium_aurum,favor-type,Different abundant taxa,0.260743676
3820,0.303034292,0.416983724,TRUE,s__Bacillus_mobilis,Non_sig,Different abundant taxa,-1.722447033
3821,1.021930258,-0.320856556,TRUE,s__Polaribacter_sp._Hel1_33_78,favor-type,Different abundant taxa,0.031296742
3822,0.501841365,-0.327205465,TRUE,s__Helicobacter_sp._NHP19-0012,Non_sig,Different abundant taxa,-0.994696703
3823,0.943633144,-0.247454399,TRUE,s__Corynebacterium_silvaticum,Non_sig,Different abundant taxa,-0.083702003
3824,0.978281542,-0.244296264,TRUE,s__Bradyrhizobium_amphicarpaeae,Non_sig,Different abundant taxa,-0.031678373
3825,0.534772267,-0.321605536,TRUE,s__Acinetobacter_tandoii,Non_sig,Different abundant taxa,-0.903003445
3826,1.320936053,-0.23886528,TRUE,s__Corynebacterium_humireducens,favor-type,Different abundant taxa,0.401560627
3827,0.846942564,0.316953883,TRUE,s__Enterobacter_chengduensis,Non_sig,Different abundant taxa,-0.23966396
3828,3.187777328,-0.193301919,TRUE,s__Halanaerobium_praevalens,favor-type,Different abundant taxa,1.672550858
3829,2.891595037,-0.180464053,TRUE,s__Mariprofundus_aestuarium,favor-type,Different abundant taxa,1.531865519
3830,0.490264341,-0.34630712,TRUE,s__Bartonella_australis,Non_sig,Different abundant taxa,-1.028368261
3831,1.027332469,-0.267100784,TRUE,s__Deferribacter_desulfuricans,favor-type,Different abundant taxa,0.038903147
3832,0.728221344,-0.265047501,TRUE,s__Sphingopyxis_alaskensis,Non_sig,Different abundant taxa,-0.457551068
3833,2.320284587,-0.227656033,TRUE,s__Fluviicola_taffensis,favor-type,Different abundant taxa,1.214301765
3834,3.564745449,-0.141209886,TRUE,s__Ferrimonas_balearica,favor-type,Different abundant taxa,1.833799061
3835,3.118404877,-0.178689801,TRUE,s__Lactobacillus_jensenii,favor-type,Different abundant taxa,1.640808252
3836,2.491559445,-0.162602641,TRUE,s__Bosea_sp._AS-1,favor-type,Different abundant taxa,1.317048995
3837,2.066680196,-0.249353169,TRUE,s__Leptotrichia_shahii,favor-type,Different abundant taxa,1.047315159
3838,1.809241901,-0.207060035,TRUE,s__Spongiibacter_nanhainus,favor-type,Different abundant taxa,0.855385314
3839,1.851001854,-0.254383658,TRUE,s__Belliella_baltica,favor-type,Different abundant taxa,0.88830634
3840,0.997751296,-0.259266934,TRUE,s__Aeromonas_sp._FDAARGOS_1415,Non_sig,Different abundant taxa,-0.003247848
3841,2.779043785,-0.198114382,TRUE,s__Sedimentisphaera_cyanobacteriorum,favor-type,Different abundant taxa,1.474588565
3842,2.054086871,-0.200950541,TRUE,s__Polaromonas_vacuolata,favor-type,Different abundant taxa,1.038497197
3843,2.711484103,-0.154166897,TRUE,s__Bremerella_volcania,favor-type,Different abundant taxa,1.439082712
3844,0.499868019,0.895361031,TRUE,s__Pseudomonas_sp._LH1G9,Non_sig,Different abundant taxa,-1.000380866
3845,2.871523279,0.246775455,TRUE,s__Echinicola_strongylocentroti,unfavor-type,Different abundant taxa,1.521816258
3846,0.820332211,-0.27439323,TRUE,s__Bdellovibrio_sp._LBG001,Non_sig,Different abundant taxa,-0.285719817
3847,2.566582934,-0.184343263,TRUE,s__Crenobacter_cavernae,favor-type,Different abundant taxa,1.359848879
3848,0.791433788,-0.270782371,TRUE,s__Campylobacter_lanienae,Non_sig,Different abundant taxa,-0.337459437
3849,1.016321191,-0.285867666,TRUE,s__Pasteurella_atlantica,favor-type,Different abundant taxa,0.023356413
3850,0.635877667,-0.286272658,TRUE,s__Synechococcus_sp._PCC_7003,Non_sig,Different abundant taxa,-0.653178856
3851,0.883469857,0.341947108,TRUE,s__Dokdonia_sp._PRO95,Non_sig,Different abundant taxa,-0.178747182
3852,0.48931804,-0.71534406,TRUE,s__Streptomyces_sp._V17-9,Non_sig,Different abundant taxa,-1.031155622
3853,1.683899733,-0.231636968,TRUE,s__Crateriforma_conspicua,favor-type,Different abundant taxa,0.751806237
3854,0.443623029,-0.574280681,TRUE,s__Commensalibacter_sp._AMU001,Non_sig,Different abundant taxa,-1.172593835
3855,1.07672292,-0.24509045,TRUE,s__Methylophilus_medardicus,favor-type,Different abundant taxa,0.10664704
3856,0.83665122,-0.259697347,TRUE,s__Sphingosinicella_flava,Non_sig,Different abundant taxa,-0.257301773
3857,2.701452572,-0.209269095,TRUE,s__Apilactobacillus_bombintestini,favor-type,Different abundant taxa,1.433735354
3858,2.610079598,-0.22119986,TRUE,s__Cupriavidus_campinensis,favor-type,Different abundant taxa,1.384093804
3859,1.473264204,-0.242334368,TRUE,s__Brachyspira_intermedia,favor-type,Different abundant taxa,0.559016176
3860,1.833068926,-0.241512834,TRUE,s__Agrobacterium_fabrum,favor-type,Different abundant taxa,0.874261035
3861,2.77440987,-0.185997823,TRUE,s__Acinetobacter_indicus,favor-type,Different abundant taxa,1.472180936
3862,0.92517538,-0.2465522,TRUE,s__Micromonospora_rifamycinica,Non_sig,Different abundant taxa,-0.112201221
3863,0.803990248,-0.518579529,TRUE,s__Agrobacterium_sp._MA01,Non_sig,Different abundant taxa,-0.314750092
3864,2.01930838,-0.156575856,TRUE,s__Halomicronema_hongdechloris,favor-type,Different abundant taxa,1.01386125
3865,6.651776103,-0.13289696,TRUE,s__Myxococcus_xanthus,favor-type,Different abundant taxa,2.733739609
3866,1.227541448,-0.229399693,TRUE,s__Pseudarthrobacter_equi,favor-type,Different abundant taxa,0.295771738
3867,0.805666743,-0.334715384,TRUE,s__Bradyrhizobium_sp._S2-11-4,Non_sig,Different abundant taxa,-0.31174489
3868,4.265747004,-0.163941617,TRUE,s__Rubrivivax_gelatinosus,favor-type,Different abundant taxa,2.092798404
3869,1.725254943,-0.208386578,TRUE,s__Streptomyces_albireticuli,favor-type,Different abundant taxa,0.786809567
3870,1.743213625,-0.190440599,TRUE,s__Hankyongella_ginsenosidimutans,favor-type,Different abundant taxa,0.801749378
3871,1.491443137,-0.209296842,TRUE,s__Mycolicibacterium_duvalii,favor-type,Different abundant taxa,0.576708974
3872,1.384598828,-0.193618424,TRUE,s__Roseovarius_sp._SCSIO_43702,favor-type,Different abundant taxa,0.469468032
3873,1.678569314,-0.2079222,TRUE,s__Rathayibacter_sp._VKM_Ac-2759,favor-type,Different abundant taxa,0.747232112
3874,0.42177354,1.198203813,TRUE,s__Citrobacter_sp._RHB36-C18,Non_sig,Different abundant taxa,-1.245459504
3875,0.772037312,-0.36544161,TRUE,s__Shewanella_inventionis,Non_sig,Different abundant taxa,-0.37325752
3876,2.869323991,-0.142996445,TRUE,s__Desulfobacter_postgatei,favor-type,Different abundant taxa,1.52071088
3877,0.320144574,-0.442486836,TRUE,s__Candidatus_Borreliella_tachyglossi,Non_sig,Different abundant taxa,-1.643204538
3878,1.665555087,-0.234501199,TRUE,s__Komagataeibacter_nataicola,favor-type,Different abundant taxa,0.736003071
3879,1.465784094,-0.214649065,TRUE,s__Georgenia_yuyongxinii,favor-type,Different abundant taxa,0.551672614
3880,1.609016136,-0.248000501,TRUE,s__Microbacterium_luteum,favor-type,Different abundant taxa,0.686178794
3881,1.030488166,-1.381816977,TRUE,s__Providencia_huaxiensis,favor-type,Different abundant taxa,0.043327937
3882,1.897234009,-0.221738845,TRUE,s__Ferruginibacter_lapsinanis,favor-type,Different abundant taxa,0.923897635
3883,0.673057724,-0.287774787,TRUE,s__Polynucleobacter_sp._MWH-Aus1W21,Non_sig,Different abundant taxa,-0.571197854
3884,0.464219564,-0.464655115,TRUE,s__Streptomyces_sp._CB00271,Non_sig,Different abundant taxa,-1.10712077
3885,2.780014571,-0.368468896,TRUE,s__Massilia_sp._NR_4-1,favor-type,Different abundant taxa,1.475092445
3886,7.149904887,-0.137932161,TRUE,s__Sporosarcina_ureae,favor-type,Different abundant taxa,2.83792405
