bacter_tsne1,bacter_tsne2,Group
15.16379144,-6.085099556,unfavor-type
0.302715028,11.06735266,unfavor-type
2.779607919,14.03524561,unfavor-type
-4.921124775,-2.316754644,unfavor-type
2.722478305,15.30578231,unfavor-type
-6.423087849,3.420280941,unfavor-type
-6.540996802,-0.720938487,unfavor-type
14.9408795,-5.726325705,unfavor-type
-1.758282992,-9.345463484,favor-type
14.64316368,-1.647296091,unfavor-type
14.70010232,-1.673460722,unfavor-type
12.25914524,3.806018477,unfavor-type
1.872704242,-2.361316071,favor-type
-4.034359471,-0.792371485,unfavor-type
2.12493645,13.47434347,favor-type
1.991390689,12.86228631,favor-type
2.12237146,13.49942165,favor-type
-2.426627338,-11.3741037,favor-type
-2.429380756,-11.36531741,favor-type
-2.413770365,-11.36148122,favor-type
-3.239591668,9.988855313,unfavor-type
-0.794729588,7.059616663,favor-type
-0.911759002,6.922536218,favor-type
-9.295671398,7.845266035,unfavor-type
-9.294518693,7.847633024,unfavor-type
-9.234373619,7.876717512,unfavor-type
4.637361707,-0.884607371,favor-type
4.958983102,-0.850768073,favor-type
14.45189031,-2.543506085,unfavor-type
-6.848808046,14.90757854,unfavor-type
7.899021214,-0.675621871,unfavor-type
-9.947510714,1.370378628,unfavor-type
-4.950274862,-3.9501749,favor-type
-11.37037494,0.631636898,unfavor-type
-12.05433404,0.53903075,unfavor-type
-10.77554265,-0.017506089,unfavor-type
3.798678102,-2.379960135,favor-type
2.176165906,6.888990348,unfavor-type
-3.829106086,-9.246429705,unfavor-type
0.487664983,-4.853559522,favor-type
-0.328976543,-4.756755447,favor-type
-0.110009029,-4.723724699,favor-type
-6.232677343,-0.916565119,favor-type
1.466952933,6.363537169,favor-type
5.474151643,10.09655596,unfavor-type
-0.652300714,-1.504897252,favor-type
-5.482021495,1.096560074,unfavor-type
-2.082795748,9.653296365,favor-type
-0.321938829,10.77499664,favor-type
8.997769543,5.9706312,favor-type
2.842217737,-5.424396689,unfavor-type
-3.194088021,-4.425938767,favor-type
-0.007119204,10.89577126,favor-type
4.084617885,5.457426042,unfavor-type
-10.2655924,-8.977884874,unfavor-type
-1.088880526,-6.28583135,favor-type
12.69706842,1.627577151,unfavor-type
-2.376561478,-1.376488076,favor-type
8.268913429,1.556032902,unfavor-type
7.975250654,-4.556835878,favor-type
9.676852302,2.35709325,unfavor-type
9.37556458,1.71556035,unfavor-type
9.48858079,1.914317125,unfavor-type
1.442066058,16.14230322,unfavor-type
-2.927628956,14.27303345,unfavor-type
-7.443584666,2.22636818,favor-type
-8.231808823,10.14953215,unfavor-type
-4.512093199,5.743918679,favor-type
8.74054317,3.455746674,unfavor-type
-14.7265614,-13.48989369,favor-type
-14.76060538,-13.28422852,favor-type
-14.73039103,-13.28599215,favor-type
6.077074986,-6.962989004,unfavor-type
12.12721968,-1.839648797,unfavor-type
12.2880594,-1.885556067,unfavor-type
-12.44909898,6.090536804,unfavor-type
-14.37611438,-14.30120129,unfavor-type
-10.49318233,-4.651460139,unfavor-type
-6.745133782,15.03795201,unfavor-type
1.738919803,14.50898976,unfavor-type
6.295032806,2.387342531,unfavor-type
-7.840566375,-1.108006326,unfavor-type
7.742041545,0.856228187,unfavor-type
12.938211,-5.459393334,unfavor-type
-0.559770147,14.67147302,unfavor-type
-0.361409106,6.53355793,favor-type
8.063758153,8.180119034,unfavor-type
-11.33238428,-3.047647554,unfavor-type
-12.19278186,3.516051146,unfavor-type
6.630593993,-6.984905749,unfavor-type
-10.34598711,-10.28255325,favor-type
-6.139808013,11.38259085,unfavor-type
-7.828798223,13.99095465,unfavor-type
6.096422402,-3.741606254,favor-type
-1.545125374,-3.74489398,favor-type
4.379563526,3.675655296,unfavor-type
5.679735943,13.17892348,unfavor-type
-15.1237812,-14.56172671,unfavor-type
11.11661203,-0.898190566,unfavor-type
17.14235468,-1.923283064,unfavor-type
18.34862788,-4.038723383,unfavor-type
5.54510349,-10.27351053,unfavor-type
-8.765268646,-11.56223885,favor-type
7.662592032,3.401246861,favor-type
-8.213972082,-9.421204446,favor-type
2.294711951,11.35760834,unfavor-type
-12.32701048,-7.214489436,unfavor-type
14.63697804,4.639389267,unfavor-type
16.59963161,-5.509409416,unfavor-type
13.35594782,4.575420504,unfavor-type
13.42939564,-3.558605504,unfavor-type
9.773853869,3.981231479,unfavor-type
6.486096261,4.427181451,unfavor-type
6.504415627,4.531929482,unfavor-type
2.761931635,-2.819991489,favor-type
2.392574258,-2.561493657,favor-type
2.51936731,-2.681454099,favor-type
-8.822577356,2.536809236,unfavor-type
-8.961840526,2.603511384,unfavor-type
5.249564981,-0.119841427,favor-type
8.843046242,5.879229774,favor-type
-4.757636132,-6.067792576,favor-type
5.313015796,-2.272027,favor-type
4.171275225,-5.301681421,favor-type
4.469407703,-5.11303843,favor-type
6.808940477,-2.219456507,unfavor-type
-2.345982237,7.249548375,favor-type
-2.695585522,6.876351908,unfavor-type
-2.648168666,6.925727405,unfavor-type
-6.302209254,5.447470263,favor-type
-6.156606404,5.090775703,unfavor-type
10.00012301,-5.043204928,unfavor-type
9.901662511,-4.989994999,favor-type
9.44499065,-4.84302783,unfavor-type
0.579872545,10.07041919,favor-type
1.179739224,9.634878,favor-type
-3.640912618,-7.928032334,favor-type
-8.266052614,-7.396014586,favor-type
