Ascomycota	Basidiomycota	Chytridiomycota	Cryptomycota	Microsporidia	Mucoromycota	Zoopagomycota	B_A_ratio
SRR15373003	75.11	14.32	1.29	0.01	6.18	2.68	0.41	0.190653707895087
SRR15373004	74.86	16.26	1.15	0.05	4	3.25	0.43	0.217205450173657
SRR15373005	81.31	11.8	1	0.01	2.59	3.05	0.24	0.145123601033083
SRR15373006	73.84	13.79	0.86	0.04	8.08	3.21	0.18	0.186755146262189
SRR15373007	94.99	4.01	0.1	0.01	0.03	0.86	0	0.0422149699968418
SRR15373008	74.11	14.02	1.91	0.15	6.17	3.19	0.45	0.189178248549454
SRR15373009	74.22	14.62	1.77	0.03	4.92	4.29	0.15	0.196981945567233
SRR15373010	72.16	13.11	1.47	0.02	9.25	3.77	0.22	0.181679600886918
SRR15373011	73.33	14.48	1.72	0.06	6.17	4.08	0.16	0.19746352106914
SRR15373012	73.54	11.85	2.09	0.03	9.05	3.36	0.08	0.161136796301333
SRR15373013	72.59	11.06	1.58	0.12	10.42	3.93	0.3	0.152362584378014
SRR15373014	74.28	15.5	1.26	0.03	5.67	2.94	0.32	0.208669897684437
SRR15373015	74.74	12.82	1.88	0.04	6.6	3.77	0.15	0.171527963607172
SRR15373016	71.4	13.82	1.6	0.1	9.61	3.28	0.19	0.193557422969188
SRR15373017	69.47	16.12	1.6	0.1	8.36	3.85	0.5	0.232042608320138
SRR15373018	71.21	14.64	1.98	0.13	7.84	3.91	0.29	0.205589102654122
SRR15373019	86.1	8.56	0.84	0.06	1.47	2.73	0.24	0.0994192799070848
SRR15373020	73.32	13.8	1.69	0.03	5.93	5.07	0.16	0.188216039279869
SRR15373021	72	14.94	1.71	0.03	7.26	3.83	0.23	0.2075
SRR15373022	70.46	14.02	1.4	0.06	9.66	3.92	0.48	0.19897814362759
SRR15373023	75.14	12.66	1.71	0.1	5.12	5.04	0.23	0.168485493745009
SRR15373024	78.5	12.82	1.1	0.04	2.95	4.26	0.33	0.163312101910828
SRR15373025	74.16	15.33	1.4	0.05	4.53	3.89	0.64	0.206715210355987
SRR15373026	80.74	17.84	0.24	0	0.32	0.79	0.07	0.22095615556106
SRR15373027	74.67	13.26	1	0.08	6.56	4.16	0.27	0.17758135797509
SRR15373028	88.16	6.87	0.46	0.01	2.53	1.74	0.23	0.0779264972776769
SRR15373029	71.92	16.35	1.85	0.05	4.32	5.15	0.36	0.227335928809789
SRR15373030	80.24	12.07	1.41	0.08	2.93	3.09	0.18	0.150423728813559
SRR15373031	75.74	11.85	1.12	0.01	7.65	3.21	0.42	0.156456297861104
SRR15373032	75.91	15.72	1.15	0.01	3.82	3.27	0.12	0.207087340271374
SRR15373033	73.28	14.01	2.51	0.1	5.66	4.03	0.41	0.191184497816594
SRR15373034	79.49	11.98	1.7	0.06	3.99	2.53	0.25	0.150710781230343
SRR15373035	72.99	12.54	2.03	0.09	7.5	4.56	0.29	0.1718043567612
SRR15373036	81.44	10.43	1.31	0.08	3.78	2.52	0.44	0.12806974459725
SRR15373037	79.67	11.13	2.67	0.01	2.92	3.36	0.24	0.139701267729384
SRR15373038	71.85	16.74	1.35	0.02	5.3	4.53	0.21	0.232985386221294
SRR15373039	74.57	12.95	1.81	0.1	6.23	3.95	0.39	0.17366233069599
SRR15373040	76.38	13.32	1.89	0.08	3.89	4.35	0.09	0.17439120188531
