"","path_ID","fc","auroc","p.val","p.adj","cohen.d"
"37","PWY-5103: L-isoleucine biosynthesis III",0.124266811206329,0.726751986011245,3.32994896792976e-26,4.4704564894457e-24,0.654691947592344
"38","PWY-5104: L-isoleucine biosynthesis IV",0.172775198771786,0.658978881201103,1.1317604365953e-13,1.68820931792132e-12,0.472967704445317
"39","PWY-5177: glutaryl-CoA degradation",0.270026391149634,0.724370279925835,1.04953255338541e-25,1.12719796233593e-23,0.921080126626221
"40","PWY-5198: factor 420 biosynthesis",0.0159827568360203,0.581980433832286,2.18164973832251e-06,1.46443238684898e-05,0.0449318115892298
"41","PWY-5304: superpathway of sulfur oxidation (Acidianus ambivalens)",0.110618793994527,0.631792761422391,6.87195207254002e-10,7.09661204414229e-09,0.326206816677986
"42","PWY-5347: superpathway of L-methionine biosynthesis (transsulfuration)",0.0758652287203032,0.600883341624082,2.46045271052986e-06,1.63118901920313e-05,0.304938381722745
"43","PWY-5367: petroselinate biosynthesis",0.203324607010992,0.63701593331223,1.46518136243139e-10,1.63917164922011e-09,0.456113622772868
"44","PWY-5659: GDP-mannose biosynthesis",0.0662502072839909,0.603483622002141,1.34615109037022e-06,9.27741200993883e-06,0.224850413516594
"45","PWY-5676: acetyl-CoA fermentation to butanoate II",0.0919102751483938,0.611830898867936,1.76245035821874e-07,1.35205120337638e-06,0.434173827423784
"46","PWY-5695: urate biosynthesis/inosine 5'-phosphate degradation",-0.110425873968261,0.39635056301723,1.27554541862196e-06,9.01273539210516e-06,-0.272036285861519
"47","PWY-5747: 2-methylcitrate cycle II",-0.0218455145989095,0.426566574714723,1.19641119193936e-05,6.98340010947214e-05,-0.243123305663812
"48","PWY-5941: glycogen degradation II (eukaryotic)",0.131683455199542,0.631604335308039,2.25857078064096e-10,2.42570501840839e-09,0.396302791322824
"49","PWY-5973: cis-vaccenate biosynthesis",-0.0412201013686822,0.402960551108699,5.82246283364896e-06,3.70986437760137e-05,-0.267488389270369
"50","PWY-6121: 5-aminoimidazole ribonucleotide biosynthesis I",0.0743905459056093,0.67271137641508,7.18171299470055e-16,1.54263195126168e-14,0.403428775961763
"51","PWY-6122: 5-aminoimidazole ribonucleotide biosynthesis II",0.0886973820506721,0.688576855243522,1.26865693452135e-18,3.69036080220158e-17,0.455354494783006
"52","PWY-6125: superpathway of guanosine nucleotides de novo biosynthesis II",-0.129429886984375,0.358356321319284,3.61652929825595e-11,4.31572496258544e-10,-0.403731396177321
"53","PWY-6126: superpathway of adenosine nucleotides de novo biosynthesis II",-0.112864175385556,0.377914951989026,1.16328873200899e-08,1.04114341514805e-07,-0.339696479566445
"54","PWY-6163: chorismate biosynthesis from 3-dehydroquinate",-0.00820836162032376,0.61821854414447,3.30727378591011e-08,2.77500941099021e-07,0.289527176316243
"55","PWY-621: sucrose degradation III (sucrose invertase)",0.152453683410399,0.651592577518504,1.40148598722764e-12,1.98052098721379e-11,0.607723967787331
"56","PWY-6277: superpathway of 5-aminoimidazole ribonucleotide biosynthesis",0.0165829065124949,0.681265922006663,2.44265313579236e-17,6.24621301866903e-16,0.422774752725531
"57","PWY-6305: putrescine biosynthesis IV",0.105703929184401,0.630971223563816,9.32429789013099e-10,9.44744899434027e-09,0.423879523214923
"58","PWY-6317: galactose degradation I (Leloir pathway)",0.0999737126330942,0.68879542953617,1.12042663116846e-18,3.5392300055145e-17,0.656733652126727
"59","PWY-6507: 4-deoxy-L-threo-hex-4-enopyranuronate degradation",0.189263385011077,0.663101644583126,2.49961087075321e-14,4.32997108901443e-13,0.635980772494189
"60","PWY-6527: stachyose degradation",0.096918092650074,0.678296326444475,7.96441414128371e-17,1.94404108812243e-15,0.618793011958082
"61","PWY-6590: superpathway of Clostridium acetobutylicum acidogenic fermentation",0.15164014224944,0.675025249099323,1.96198302633805e-16,4.58080384845014e-15,0.760591752439269
