"","KO","KO_ID","fc","auroc","p.val","p.adj","cohen.d","ID","L1","id1","L2","id2","L3","gene","protein","EC"
"3837","K07659","K07659",-0.0258446247456034,0.406088424606943,1.09633414919763e-05,6.95207778082214e-05,-0.247403551102589,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","ompR"," two-component system, OmpR family, phosphate regulon response regulator OmpR",""
"3840","K07660","K07660",-0.0238979342409269,0.384566393825653,6.63983072968222e-08,5.96629734489371e-07,-0.25629887553493,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","phoP"," two-component system, OmpR family, response regulator PhoP",""
"3844","K07661","K07661",-0.0398174465533491,0.416711888934111,9.98703907120202e-05,0.000486269516414199,-0.291891652660161,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","rstA"," two-component system, OmpR family, response regulator RstA",""
"3846","K07662","K07662",-0.0560854646405155,0.405839702135998,1.08988665916687e-05,6.91646061297513e-05,-0.304170032371592,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","cpxR"," two-component system, OmpR family, response regulator CpxR",""
"3849","K07663","K07663",-0.0324552124226978,0.438769049880161,0.00423032884874242,0.0125926771521735,-0.222868965123445,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","creB"," two-component system, OmpR family, catabolic regulation response regulator CreB",""
"3851","K07664","K07664",-0.0297956889918311,0.44661511328178,0.0126435730198258,0.0334829481434699,-0.229174441529515,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","baeR, smeR"," two-component system, OmpR family, response regulator BaeR",""
"3853","K07665","K07665",-0.0566101507704677,0.424203711240748,0.000398771499857009,0.00157503392211075,-0.302032412149402,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","cusR, copR, silR"," two-component system, OmpR family, copper resistance phosphate regulon response regulator CusR",""
"3856","K07666","K07666",-0.029751384811619,0.443370415592638,0.00815316763021823,0.0226428531318202,-0.21926880419382,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","qseB"," two-component system, OmpR family, response regulator QseB",""
"3859","K07667","K07667",0.138497746213899,0.683828517161851,9.08171309082523e-18,2.17908770012135e-16,0.485839050478245,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","kdpE"," two-component system, OmpR family, KDP operon response regulator KdpE",""
"3862","K07670","K07670",0.00946187501543182,0.565511991437917,0.00218289144251954,0.00698223363442861,0.284691041148098,"A09180","Brite Hierarchies",9183,"Protein families: signaling and cellular processes",2022,"Two-component system [BR:ko02022","mtrA"," two-component system, OmpR family, response regulator MtrA",""
"3864","K07673","K07673",-0.0352608109068933,0.416052397533879,8.81758311326308e-05,0.000440629780014991,-0.280084750070516,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","narX"," two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarX ","EC:2.7.13.3"
"3867","K07674","K07674",-0.0286206003643555,0.44473085213826,0.00984262432202354,0.0267634520265082,-0.225375184463052,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","narQ"," two-component system, NarL family, nitrate/nitrite sensor histidine kinase NarQ ","EC:2.7.13.3"
"3870","K07675","K07675",-0.0498033998945879,0.41200123607531,3.95583255095033e-05,0.000218845593483139,-0.27398668127521,"A09130","Environmental Information Processing",9132,"Signal transduction",2020,"Two-component system [PATH:ko02020","uhpB"," two-component system, NarL family, sensor histidine kinase UhpB ","EC:2.7.13.3"
