donor_origin_clust,observed,chao1,diversity_inverse_simpson,diversity_gini_simpson,diversity_shannon,diversity_fisher,diversity_coverage,evenness_camargo,evenness_pielou,evenness_simpson,evenness_evar,evenness_bulla,dominance_dbp,dominance_dmn,dominance_absolute,dominance_relative,dominance_simpson,dominance_core_abundance,dominance_gini,rarity_log_modulo_skewness,rarity_low_abundance,rarity_rare_abundance,S1_or_S4
Donor_origin_clust2,6198,6380.002725,20.8303427,0.951993109,3.957634229,738.8598934,7,0.04314824,0.453234358,0.003360817,0.255648966,0.06856896,0.1040343,0.205620771,337880,0.1040343,0.048006891,0.537461493,0.98159372,2.061422337,0.107168446,0.224737859,S1
Donor_origin_clust2,5369,5801.102041,10.9803768,0.908928444,3.155493658,565.3802697,5,0.050454588,0.367413579,0.002045144,0.23391901,0.031756075,0.230876234,0.351463136,1737249,0.230876234,0.091071556,0.827955942,0.994932838,2.061422196,0.059491481,0.096299865,S1
Donor_origin_clust2,4695,5216.982726,14.890433,0.932842786,3.480354853,528.8949336,6,0.279447848,0.411669096,0.003171551,0.219042035,0.045701578,0.180391329,0.292117473,683528,0.180391329,0.067157214,0.71098587,0.993071637,2.061421391,0.071329906,0.152432478,S4
Donor_origin_clust2,4311,5129.378012,5.389301338,0.814447191,2.625726582,455.0407503,2,0.069600189,0.313747169,0.001250128,0.203936133,0.03472187,0.38306356,0.538181618,2268507,0.38306356,0.185552809,0.7969457,0.996715569,2.061422341,0.053434711,0.08036593,S4
Donor_origin_clust2,2825,3688.130641,2.925051765,0.658125708,1.819332886,275.4564377,1,0.603965332,0.228954508,0.001035417,0.193316403,0.027601248,0.548687177,0.735472036,4298913,0.548687177,0.341874292,0.897276509,0.998733803,2.061419884,0.036036675,0.03959779,S1
Donor_origin_clust2,4394,5037.369668,7.430022327,0.865410902,2.769729407,464.5593225,3,0.198949095,0.330201594,0.001690947,0.2209122,0.028791741,0.252315525,0.481726168,1502081,0.252315525,0.134589098,0.898423617,0.996539196,2.061421685,0.039106294,0.036037012,S1
Donor_origin_clust2,3945,4754.159126,11.20274797,0.910736187,3.139797359,455.1498901,5,0.189554045,0.379193226,0.002839733,0.238106316,0.037137795,0.225140414,0.333598429,595346,0.225140414,0.089263813,0.872268308,0.995447762,2.061422605,0.056761027,0.040005567,S4
Donor_origin_clust2,3522,4387.8,3.580959737,0.720745255,1.985194435,369.6522454,2,0.344562444,0.243081532,0.00101674,0.214438866,0.032654262,0.459410549,0.702619546,2332737,0.459410549,0.279254745,0.951943744,0.997985617,2.061421857,0.052684556,0.03080308,S1
Donor_origin_clust2,5788,6094.206897,11.51928955,0.913189091,3.160960981,584.4029397,5,0.033262298,0.364857809,0.001990202,0.215639852,0.035428194,0.220625481,0.32484601,2580200,0.220625481,0.086810909,0.869445928,0.994115686,2.061421451,0.071805377,0.073198715,S4
Donor_origin_clust1,5823,6106.626506,12.18208848,0.917912269,3.41079567,677.4914989,4,0.149949188,0.393421511,0.002092064,0.259419872,0.049092536,0.201999421,0.321409615,739451,0.201999421,0.082087731,0.564332269,0.98960816,2.061422687,0.084542974,0.131103443,S4
Donor_origin_clust1,4047,4814.528771,7.328628799,0.863548826,2.708816238,427.8998561,3,0.244174195,0.326138204,0.001810879,0.216512656,0.031988558,0.274703121,0.450351062,1505397,0.274703121,0.136451174,0.871371203,0.997038646,2.061422553,0.049459251,0.071127703,S1
Donor_origin_clust2,5756,6062.811567,9.242520188,0.891804402,3.013310833,577.9943418,4,0.068230898,0.348037827,0.001605719,0.214588398,0.031491281,0.238834025,0.400327985,2917114,0.238834025,0.108195598,0.851354186,0.995293998,2.061421727,0.059132486,0.052150896,S4
Donor_origin_clust2,5781,6151.769737,12.20860803,0.91809058,3.404675329,639.4361712,5,0.128328428,0.393043738,0.002111851,0.224506779,0.045110592,0.192130851,0.351193088,1036818,0.192130851,0.08190942,0.732185213,0.990671253,2.061422172,0.074796865,0.084966207,S1
Donor_origin_clust2,5744,6131.521295,13.76306558,0.927341769,3.665944034,657.3690269,6,0.187915828,0.423519141,0.002396077,0.23007284,0.047223947,0.224880758,0.294536629,921504,0.224880758,0.072658231,0.633399345,0.990100249,2.061421969,0.075429779,0.180098566,S1
Donor_origin_clust2,5960,6205.617021,13.05635511,0.923408946,3.921319517,722.4939378,7,0.121835891,0.451098368,0.002190664,0.231982499,0.074279471,0.241405835,0.313970536,666887,0.241405835,0.076591054,0.537795646,0.9820847,2.061422847,0.118362115,0.270565145,S4
Donor_origin_clust2,3903,4336.106383,8.831875856,0.886773771,2.892523938,393.2650128,3,0.336643003,0.349782172,0.002262843,0.194757891,0.032256669,0.238054619,0.402645787,1912238,0.238054619,0.113226229,0.873270491,0.997012767,2.061421262,0.053301165,0.068789222,S4
Donor_origin_clust2,4798,5158.89372,6.964734049,0.8564195,2.732609675,498.9396432,3,0.419436132,0.322395512,0.001451591,0.208362966,0.035986917,0.317469551,0.454470887,2377212,0.317469551,0.1435805,0.847921608,0.995981111,2.061421741,0.06221688,0.113096421,S1
