cluster,tsne1,tsne2
2,2.556034063,1.148184518
2,2.879503638,1.257831718
2,7.256661692,11.392238
1,2.756546011,-7.714606454
2,-10.20681959,6.069912267
2,-10.13095888,6.099583536
2,-10.16101888,6.078785411
1,-1.146045024,-1.002392578
2,6.101777755,1.527119671
2,4.944437521,2.643977661
1,-3.628430687,-14.40648416
1,-3.635911821,-14.05255854
1,-3.597594985,-14.16483526
1,-5.878744501,-4.959815983
1,-1.261870657,-5.853804905
2,2.11482189,0.928632521
1,1.083745516,-4.801923058
2,3.29758845,2.737410491
1,-4.676701762,-13.55754969
1,3.168942577,-5.312827548
1,0.824248115,-5.574883441
2,-6.824273019,14.39999084
1,-2.936284511,-13.34137545
1,-0.045208763,-4.591020645
2,6.324214959,8.607463065
2,7.088548781,-3.439801172
1,-6.536344447,-12.86573239
2,2.576423869,7.280616888
1,1.379048032,-4.005106933
2,5.234076088,10.82329378
1,-0.882787238,-4.029881236
2,-4.072867336,4.426454705
2,1.763834166,2.101757664
2,-0.185848426,7.766772499
2,-1.273507432,3.058446781
2,2.240469485,3.414689972
1,2.489918561,-11.98566105
2,5.549202071,7.910878507
1,-3.132378134,-1.268741901
2,6.386496503,7.285888134
1,8.932968139,-5.801537729
1,8.799091316,-5.869837298
1,8.920007096,-5.842055709
2,-3.456095893,3.402690371
2,0.830182602,6.660115549
2,0.782702787,6.636120531
2,0.702422582,6.590405604
2,11.00698575,-5.215897713
2,4.313755465,2.778441738
2,-3.263048249,4.85242988
2,-0.812096745,10.04049981
2,1.623648551,-0.625911429
2,7.872977541,11.59728126
2,-0.356519,2.221548799
2,-6.147080094,6.026404959
2,-1.231232217,9.140248888
1,-2.750311729,-7.8414019
2,14.44122503,0.601566791
2,11.6820226,2.921349114
2,8.434740999,5.620470422
2,11.89958214,5.521640845
1,-3.015805754,-6.427075281
2,7.998399176,13.03242029
2,6.234429783,3.381135328
1,-9.043698564,1.378906
1,-14.5805345,-4.542579761
2,10.51933135,4.311434337
2,6.496823533,14.51740705
2,12.44922574,-5.609701884
2,6.17382702,11.65378244
2,5.931831224,12.69642136
2,5.697167757,11.41928657
2,12.11397264,8.29944568
1,5.169089083,-11.05911257
1,-0.212164783,-0.311196595
1,-7.84270607,-8.87084083
2,-6.002019776,3.102588039
2,10.38420837,-2.361666333
2,0.865269007,8.143054714
2,3.082556099,12.47947102
2,-1.027572971,7.940795331
2,4.897544698,11.1763222
2,1.817170328,5.700710672
2,13.88800528,3.861280705
2,13.86155223,3.897537481
1,-7.078292609,-10.45289079
1,-5.844043569,-2.896731211
1,-5.979421497,-2.774625337
2,12.81871077,-1.843066677
2,12.81254017,-1.839538014
1,-4.729952365,-11.51216554
1,-3.220932221,-10.84009304
1,-0.342384325,-12.72630073
1,3.15657,-3.398592809
1,-1.894170487,-10.83753865
1,-1.96949608,-10.96909319
2,3.695246217,1.610549078
1,-3.2350044,-8.911854146
2,6.498729822,-1.15803631
2,6.498428523,-1.173121351
1,-4.603746706,-10.85317937
2,6.768560559,3.774312661
2,-1.181153542,0.45951341
1,-1.332889311,0.241025545
2,-5.939224395,13.03333118
